TIME(MS),COMMAND,VALUE
 007850 ,1      ,1
 007900 ,2      ,1
 007950 ,3      ,1
 008000 ,1      ,0
 008000 ,4      ,1
 008050 ,2      ,0
 008050 ,5      ,1
 008100 ,3      ,0
 008700 ,1      ,1
 008750 ,2      ,1
 008800 ,3      ,1
 008850 ,1      ,0
 008900 ,2      ,0
 009550 ,1      ,1
 009600 ,2      ,1
 010350 ,1      ,0
 010350 ,6      ,1
 010400 ,2      ,0
 010400 ,6      ,0
 010400 ,7      ,1
 010450 ,3      ,0
 010450 ,7      ,0
 010450 ,8      ,1
 010500 ,1      ,1
 010500 ,4      ,0
 010500 ,6      ,1
 010500 ,8      ,0
 010550 ,2      ,1
 010550 ,5      ,0
 010550 ,6      ,0
 010550 ,7      ,1
 010600 ,3      ,1
 010600 ,6      ,1
 010600 ,7      ,0
 010600 ,8      ,1
 010650 ,4      ,1
 010650 ,6      ,0
 010650 ,7      ,1
 010650 ,8      ,0
 010700 ,5      ,1
 010700 ,6      ,1
 010700 ,7      ,0
 010750 ,6      ,0
 010750 ,8      ,1
 010800 ,7      ,1
 010800 ,8      ,0
 010850 ,6      ,1
 010850 ,7      ,0
 010850 ,8      ,1
 010900 ,7      ,1
 010900 ,8      ,0
 010950 ,6      ,0
 011000 ,1      ,0
 011000 ,2      ,0
 011000 ,3      ,0
 011000 ,4      ,0
 011000 ,5      ,0
 011000 ,7      ,0
 011200 ,1      ,1
 011200 ,6      ,1
 011250 ,2      ,1
 011300 ,3      ,1
 011350 ,1      ,0
 011350 ,4      ,1
 011400 ,2      ,0
 011400 ,5      ,1
 011450 ,3      ,0
 012050 ,1      ,1
 012050 ,6      ,0
 012050 ,7      ,1
 012100 ,2      ,1
 012150 ,3      ,1
 012200 ,1      ,0
 012250 ,2      ,0
 012900 ,1      ,1
 012900 ,7      ,0
 012900 ,8      ,1
 012950 ,2      ,1
 013700 ,1      ,0
 013700 ,6      ,1
 013700 ,8      ,0
 013750 ,2      ,0
 013750 ,6      ,0
 013750 ,7      ,1
 013800 ,3      ,0
 013800 ,7      ,0
 013800 ,8      ,1
 013850 ,1      ,1
 013850 ,4      ,0
 013850 ,6      ,1
 013850 ,8      ,0
 013900 ,2      ,1
 013900 ,5      ,0
 013900 ,6      ,0
 013900 ,7      ,1
 013950 ,3      ,1
 013950 ,6      ,1
 013950 ,7      ,0
 013950 ,8      ,1
 014000 ,4      ,1
 014000 ,6      ,0
 014000 ,7      ,1
 014000 ,8      ,0
 014050 ,5      ,1
 014050 ,6      ,1
 014050 ,7      ,0
 014100 ,6      ,0
 014100 ,8      ,1
 014150 ,6      ,1
 014150 ,7      ,1
 014200 ,6      ,0
 014200 ,7      ,0
 014200 ,8      ,0
 014250 ,1      ,0
 014250 ,2      ,0
 014250 ,3      ,0
 014250 ,4      ,0
 014250 ,5      ,0
 014250 ,6      ,1
 014250 ,7      ,1
 014250 ,8      ,1
 014350 ,6      ,0
 014350 ,7      ,0
 014350 ,8      ,0
 014500 ,6      ,1
 014700 ,1      ,1
 014700 ,3      ,1
 014700 ,6      ,0
 014700 ,8      ,1
 014750 ,7      ,1
 014800 ,6      ,1
 014800 ,8      ,0
 014850 ,1      ,0
 014850 ,3      ,0
 014850 ,7      ,0
 014900 ,6      ,0
 014900 ,7      ,1
 014950 ,1      ,1
 014950 ,3      ,1
 015100 ,6      ,1
 015100 ,7      ,0
 015350 ,6      ,0
 015350 ,8      ,1
 015400 ,1      ,0
 015400 ,5      ,1
 015500 ,7      ,1
 015500 ,8      ,0
 015700 ,3      ,0
 015700 ,5      ,0
 015800 ,3      ,1
 015800 ,5      ,1
 015900 ,6      ,1
 015900 ,7      ,0
 016250 ,3      ,0
 016250 ,5      ,0
 016250 ,6      ,0
 016250 ,7      ,1
 016350 ,2      ,1
 016350 ,4      ,1
 016350 ,6      ,1
 016350 ,7      ,0
 016350 ,8      ,1
 016600 ,6      ,0
 016600 ,8      ,0
 016650 ,2      ,0
 016650 ,4      ,0
 016750 ,2      ,1
 016750 ,4      ,1
 016750 ,6      ,1
 016750 ,8      ,1
 017000 ,2      ,0
 017000 ,4      ,0
 017050 ,6      ,0
 017050 ,7      ,1
 017050 ,8      ,0
 017100 ,3      ,1
 017100 ,5      ,1
 017200 ,7      ,0
 017200 ,8      ,1
 017500 ,3      ,0
 017500 ,5      ,0
 017600 ,3      ,1
 017600 ,5      ,1
 017650 ,7      ,1
 017650 ,8      ,0
 017950 ,7      ,0
 018050 ,1      ,1
 018050 ,7      ,1
 018300 ,7      ,0
 018300 ,8      ,1
 018450 ,1      ,0
 018450 ,2      ,1
 018450 ,3      ,0
 018450 ,4      ,1
 018450 ,5      ,0
 018500 ,6      ,1
 018500 ,8      ,0
 018750 ,7      ,1
 018900 ,1      ,1
 018900 ,2      ,0
 018900 ,3      ,1
 018900 ,4      ,0
 018900 ,5      ,1
 018900 ,6      ,0
 018900 ,7      ,0
 018900 ,8      ,1
 019200 ,6      ,1
 019200 ,8      ,0
 019300 ,1      ,0
 019300 ,2      ,1
 019300 ,3      ,0
 019300 ,4      ,1
 019300 ,5      ,0
 019350 ,6      ,0
 019350 ,7      ,1
 019650 ,7      ,0
 019650 ,8      ,1
 019800 ,1      ,1
 019800 ,2      ,0
 019800 ,3      ,1
 019800 ,4      ,0
 019800 ,5      ,1
 019800 ,6      ,1
 019800 ,8      ,0
 020050 ,6      ,0
 020050 ,8      ,1
 020150 ,1      ,0
 020150 ,2      ,1
 020150 ,3      ,0
 020150 ,4      ,1
 020150 ,5      ,0
 020200 ,7      ,1
 020200 ,8      ,0
 020500 ,6      ,1
 020500 ,7      ,0
 020600 ,1      ,1
 020600 ,2      ,0
 020600 ,3      ,1
 020600 ,4      ,0
 020600 ,5      ,1
 020650 ,6      ,0
 020650 ,7      ,1
 020650 ,8      ,1
 020900 ,6      ,1
 020900 ,7      ,0
 020900 ,8      ,0
 021050 ,6      ,0
 021050 ,7      ,1
 021100 ,1      ,0
 021100 ,3      ,0
 021100 ,5      ,0
 021250 ,7      ,0
 021350 ,7      ,1
 021500 ,3      ,1
 021500 ,6      ,1
 021500 ,7      ,0
 021750 ,8      ,1
 021900 ,2      ,1
 021900 ,3      ,0
 021900 ,4      ,1
